,date,logging_info,status
90,11-12-21 17:55:47,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
91,11-12-21 17:57:24,Sucessfully remove the file cassandra_db.log from path Project_Logs/cassandra_db.log,INFO
92,11-12-21 17:57:22,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
93,11-12-21 17:57:20,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
94,11-12-21 17:55:45,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
95,12-12-21 00:30:41,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
96,12-12-21 00:30:34,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
97,12-12-21 00:15:44,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
98,11-12-21 19:27:45,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
99,12-12-21 00:08:42,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
100,29-11-21 04:53:58,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
101,12-12-21 00:15:46,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
102,12-12-21 02:40:59,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
103,28-11-21 13:50:48,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
104,28-11-21 11:23:02,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
105,11-12-21 16:10:15,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
106,28-11-21 14:08:06,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
107,12-12-21 00:19:39,Sucessfully remove the file app.log from path Project_Logs/app.log,INFO
108,12-12-21 14:35:38,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
109,29-11-21 04:52:12,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
110,11-12-21 12:10:56,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
111,12-12-21 00:24:29,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
112,28-11-21 14:03:58,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
113,11-12-21 16:38:13,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
114,11-12-21 16:14:39,Sucessfully remove the file generate_random_code_for_validation.log from path Project_Logs/generate_random_code_for_validation.log,INFO
115,29-11-21 04:52:13,Sucessfully remove the file generate_random_code_for_validation.log from path Project_Logs/generate_random_code_for_validation.log,INFO
116,11-12-21 19:10:37,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
117,11-12-21 15:42:13,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
118,28-11-21 14:04:24,Sucessfully remove the file predict_images.log from path Project_Logs/predict_images.log,INFO
119,12-12-21 02:34:59,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
120,11-12-21 17:58:47,Sucessfully remove the file credentials_validation.log from path Project_Logs/credentials_validation.log,INFO
121,28-11-21 10:20:50,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
122,12-12-21 02:47:57,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
123,12-12-21 00:19:45,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
124,12-12-21 00:24:32,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
125,11-12-21 17:55:49,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
126,12-12-21 02:34:57,Sucessfully remove the file app.log from path Project_Logs/app.log,INFO
127,12-12-21 13:49:01,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
128,11-12-21 17:50:06,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
129,11-12-21 17:58:43,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
130,11-12-21 15:50:16,Sucessfully remove the file emails.log from path Project_Logs/emails.log,INFO
131,11-12-21 19:27:43,Sucessfully created and return the session of cassandra database with keyspace project_loggings,INFO
132,11-12-21 17:50:09,Sucessfully dump loggings file into cassandra database with keyspace project_loggings,INFO
133,11-12-21 15:42:15,Sucessfully remove the file cassandra_db.log from path Project_Logs/cassandra_db.log,INFO
134,11-12-21 15:42:12,Sucessfully remove the file app.log from path Project_Logs/app.log,INFO
135,29-11-21 04:53:57,Sucessfully remove the file db_operations.log from path Project_Logs/db_operations.log,INFO
